,,W0,W1,W2,W3,W4,W5,W6
F0,S0,5.791628536548156e-08,9.593343719068897e-08,7.863844981799835e-08,5.508867831771565e-08,3.087497056672452e-08,7.105038480100214e-08,4.58393782483972e-08
F0,S1,1.5149012390792192e-07,3.3938808361058667e-07,5.098689740945368e-07,7.173552103484196e-08,2.4814882961517234e-07,2.8074100696381503e-07,1.1405151046748029e-07
F0,S2,5.378407193457185e-08,8.951023199591551e-08,6.732956607261826e-08,4.433241486816292e-08,2.444459025219347e-08,7.336487205194244e-08,3.192483764220751e-08
F0,S3,1.202633706844676e-07,1.8015883523144064e-07,1.2392003096012965e-07,9.277432747669485e-08,4.5074151100666023e-08,1.4827102843448456e-07,5.20983310698364e-08
F0,S4,5.255857884798864e-08,7.193871144833948e-08,7.510288946155282e-08,4.220282732219092e-08,2.4672832478387005e-08,5.6992407905249964e-08,2.8760521704456786e-08
F0,S5,5.269438711739201e-08,8.640548440462586e-08,8.544144176452864e-08,4.427389801904287e-08,2.2145874236270025e-08,6.868754045515336e-08,2.803418010591754e-08
F0,S6,7.949607284390502e-08,1.481445249929252e-07,1.2912164468403497e-07,8.271590403655248e-08,4.000991806019576e-08,1.0552278270422843e-07,6.27277688977913e-08
F0,S7,5.31345424274481e-08,1.2469969419181858e-07,6.200259450459092e-08,5.89105445153744e-08,2.4388824209202055e-08,8.4129830535798e-08,3.859200869528903e-08
F0,S8,9.784137779447367e-08,106.57773846179991,1.175313370934343e-07,1.4435102184872422e-07,4.617202442257133e-08,4.531100004668609e-07,8.927074431327603e-08
F0,S9,1.3339946049694403e-07,1.5218204496157677e-07,6.611190101535774e-07,1.9111345107557286e-07,1.308033407511872e-07,9.746104504998473e-08,1.0438125501344902e-07
F0,S10,8.122029454193815e-08,1.7550361258447076e-07,5.418161357722845e-07,6.272453253321027e-08,4.906843219654133e-08,1.178245288358849e-07,4.707748844669167e-08
F0,S11,5.0517761764446814e-08,7.763247365731248e-08,6.565832209834248e-08,4.3004713808446134e-08,2.2504391321147873e-08,6.428086193565974e-08,2.846499095028766e-08
F0,S12,16.297413338149518,1.9085808790324936e-07,6.957521682531459e-08,1.258271831732253e-07,7.741627321649045e-08,2.5263087662229796e-07,7.705956559238336e-08
F0,S13,1.0022826183238949e-07,2.811967732549516e-07,6.922782703204959e-08,8.504385016780604e-08,4.6770338879675145e-08,1.245246286631136e-07,4.3360673937136076e-08
F0,S14,1.5225710286638136e-07,1.337678579194215e-07,1.3422119660748988e-07,8.80497553403336e-08,5.8761168091704095e-08,1.0541213008569926e-07,6.087508134009687e-08
F0,S15,6.027835894838403e-08,7.697432268764565e-08,6.204836976471059e-08,5.2801204080943305e-08,2.591163333742609e-08,5.860767095885813e-08,3.247080109330232e-08
F0,S16,5.172444935314471e-08,1.7070138283778504e-07,5.612510408079214e-08,3.97340210464704e-08,2.475138903833263e-08,1.0182369219490188e-07,2.748844641750403e-08
F0,S17,1.529254048778141e-07,8.985613735087792e-08,8.260411098862781e-08,9.53032851571897e-08,4.3341971861965945e-08,8.971810461500899e-08,6.388724846434581e-08
F0,S18,7.483770739165669e-08,3.4645121585299875e-07,1.0032298944885735e-07,5.831741656838414e-08,4.2802334554068896e-08,2.1027249378422663e-07,4.640151743360166e-08
F0,S19,3.031776250332155e-07,1.4764601812410789e-07,8.479454958372805e-08,7.557962774834251e-08,1.2379378283584148e-07,2.727502861580804e-07,1.0613846481485623e-07
F0,S20,6.244597713164271e-08,8.759188377340254e-08,1.762946149302531e-07,4.999913315753471e-08,3.664105839503108e-08,7.272213230690222e-08,4.41418587772835e-08
F0,S21,5.3325815731231554e-08,7.238182427549473e-08,8.567225658704697e-08,4.770949214154691e-08,2.7608553705216414e-08,5.903450128206454e-08,3.561754267305697e-08
F0,S22,1.489906432955518e-07,2.172071536638243e-07,7.929433539559854e-08,560.5311937382052,4.6018175714909805e-08,1.75171002244994e-07,6.702523668793955e-07
F0,S23,4.943003185792353e-08,7.862389702432517e-08,8.077020069641286e-08,4.157992857572651e-08,2.4799134521721264e-08,5.982974370467358e-08,2.992920952190289e-08
F0,S24,1.5418001377180926e-07,3.361339137945184e-07,8.214871421389044e-08,9.871011413397994e-08,4.6594097433925206e-08,3.4184365408989266e-07,6.190600991898333e-08
F0,S25,5.9008615774873485e-08,7.51396759042026e-08,9.813527845551477e-08,4.8184236620159956e-08,3.169439569259191e-08,6.261361903318546e-08,3.726519776450299e-08
F0,S26,7.213202519884576e-07,1.9993982919039992e-07,1.2529813078979415e-07,2.6002643624405647e-07,1.1099534306533574e-07,2.1347936010572068e-07,1.950230472580724e-07
F0,S27,1.5756865212397445e-07,3.670254128310926e-07,1.1071137314444248e-07,3.436841134664417e-07,5.275540856195843e-08,1.394553229965739e-07,9.411620713945293e-08
F0,S28,398.5639247115906,3.298285578565207e-06,7.138344756550948e-08,8.716679840723378e-08,17.345765845175098,435.11876841418865,7.524505345526933e-08
F0,S29,8.609517115066899e-08,3.13553389039525e-07,8.591865881596888e-08,5.634353986136012e-08,4.350175430483864e-08,2.5926882372167e-07,4.291772809434399e-08
F0,S30,6.67032583380774e-08,553.7840476355814,8.142708009986933e-08,5.508461875482854e-08,3.177656183256088e-08,6.354535622111365e-07,3.749020966456669e-08
F0,S31,74.78978962697687,2.1598664490373783e-07,1.4146353751155847e-07,5.71490009781615e-08,1.7579912831782533e-07,16.321828563953368,5.485697154633999e-08
F0,S32,6.821218992481487e-08,8.700292555052857e-08,9.741345642155436e-08,5.140342972882232e-08,3.095663462017945e-08,7.284531308568052e-08,3.679018511405482e-08
F0,S33,6.587258854710406e-08,7.79441040720814e-08,6.955302191470614e-08,5.1526834536782264e-08,2.9501173860092282e-08,6.506451744599452e-08,3.495306105881424e-08
F0,S34,5.783712578128114e-08,6.948306340839398e-08,5.5582379790124754e-08,4.7314823380204175e-08,2.3089138086573544e-08,6.147699583187499e-08,2.9569004901708814e-08
F0,S35,6.14928284241013e-08,1.9165917375330105e-07,1.857648227171756e-07,9.423045126833547e-08,4.066102571935709e-08,1.0655752264543658e-07,7.155056511268535e-08
F0,S36,1.97330761917962e-07,1.1051988858520507e-07,7.462689661499874e-08,1.424256815937716e-07,4.635654138932286e-08,1.220039262499298e-07,8.818888473132478e-08
F0,S37,6.449624898912288e-08,7.431347969323968e-08,7.841900688902746e-08,4.8953703314611744e-08,2.87970375494465e-08,6.440498097501374e-08,3.628808239663887e-08
F0,S38,1.316420010293633e-07,1.0697180947421976e-07,1.1408275403914766e-07,7.158558816646286e-08,5.579091153115084e-08,1.373187980601018e-07,6.064623164957815e-08
F0,S39,7.056167265201036e-08,8.220364916009092e-08,7.48083039486583e-08,4.6178792068448315e-08,3.313813036717541e-08,7.811516421757503e-08,3.849681796642683e-08
F0,S40,279.7251009782589,9.785801283320489e-08,1.3165003234500605e-07,4.905652083877245e-08,304.6785404244668,2.3361832277289212e-07,8.245844046294233e-08
F0,S41,7.200508414440717e-08,1.477241161781433e-07,2.5926655513951e-07,5.2676046697505555e-08,4.1069656075757594e-08,1.023736647319778e-07,5.101215623926494e-08
F0,S42,9.567042329632481e-08,1.677134336152677e-07,7.230681697716248e-08,5.1004865919520775e-08,3.861652030448662e-08,2.3308340196254336e-07,4.9549201077690825e-08
F0,S43,7.56946749919882e-08,1.3239669057490038e-07,9.7907196566681e-08,6.240280394848392e-08,4.1075359064738716e-08,9.671873269183948e-08,3.7777787130250444e-08
F0,S44,8.105307542571632e-08,8.764582687896776e-08,9.307887936797083e-08,5.2151697565211535e-08,3.552916884240747e-08,8.180680769067195e-08,3.8894063157958206e-08
F0,S45,5.24025724922705e-08,1.3432849265388413e-07,9.931224551416947e-08,4.835009612774982e-08,2.9757868460681773e-08,8.852819027947144e-08,3.94578981624116e-08
F0,S46,5.629470327659175e-08,7.674524721129805e-08,1.0052228475589985e-07,4.261918725875247e-08,2.6356023479097444e-08,6.284551544320053e-08,3.0368746748050296e-08
F0,S47,5.836467709043419e-08,2.531206889735745e-07,1.3666628733125793e-07,7.46010215779486e-08,3.542304484412016e-08,1.35805825539677e-07,5.0790532789102185e-08
F0,S48,8.01333714678214e-08,9.036895912889396e-08,8.377077349178942e-08,7.124525824897946e-08,3.551273998848233e-08,7.93964014003882e-08,4.624534679749921e-08
F0,S49,6.048687622972341e-08,9.792351676433592e-08,6.393375205783498e-08,4.357200985785151e-08,2.743403747879987e-08,7.942579338593677e-08,3.082325250320556e-08
F0,S50,6.201228525865598e-08,7.466053910341029e-08,6.221898126608589e-08,4.260782135746254e-08,2.5182640603041238e-08,6.740960619349284e-08,2.9104404788296556e-08
F0,S51,1.0145283427341657e-07,8.568662688077133e-08,6.328976625398998e-08,4.9004476162256764e-08,3.4644354690180924e-08,9.227970006241843e-08,4.044882081913827e-08
F0,S52,1.6534285698687796e-07,2.1306248639264622e-07,20.705961992240354,42.74625688797861,7.37698209769261e-08,1.6743119966766503e-07,119.98012145110572
F0,S53,114.96565408305784,36.30417046318885,3.0222197221469037e-07,2.0840395472631562e-07,12.612406514724569,308.6118461349707,3.903124720731309e-07
F0,S54,4.3601069313957215e-08,8.958759500085636e-08,5.2771220092177176e-08,3.837354228386391e-08,2.0664609337067634e-08,6.16134183522828e-08,2.5728886613874597e-08
F0,S55,5.603165501022692e-08,1.1554943307494085e-07,7.576848067199239e-08,5.626941954072054e-08,3.07051706309501e-08,8.847787327612268e-08,4.2558001027251287e-08
F0,S56,5.354706627928134e-08,7.771144681148271e-08,5.743981113883943e-08,6.921273640906898e-08,2.1761428131688963e-08,6.10429555974609e-08,3.8014185719112134e-08
F0,S57,6.995770428064549e-08,8.542724442809175e-08,6.728993530727365e-08,5.707829034814143e-08,3.1611885394112895e-08,8.013711093033907e-08,4.091523850324548e-08
F0,S58,4.914614999212006e-08,9.640002126333095e-08,7.965607240134206e-08,6.104122336608575e-08,2.6456185500059107e-08,6.202740351532333e-08,3.475667834674673e-08
F0,S59,5.805205103106349e-08,1.2919420876425382e-07,6.58963263846795e-08,4.212788810106043e-08,2.948281706810021e-08,1.0397478077531858e-07,3.3114856675387745e-08
F0,S60,8.283960117748776e-08,1.3848114169811449e-07,6.140810090664352e-08,5.559067089506893e-08,3.3546865547941024e-08,1.0461627900424199e-07,3.258696034555482e-08
F0,S61,9.072430199546583e-08,8.766551482821466e-08,1.5941168576212556e-07,6.280865157948939e-08,4.6587130683343646e-08,8.774064133067224e-08,4.9611749108829874e-08
F0,S62,5.215603793330616e-08,1.1567295702751112e-07,9.206784527683715e-08,6.97283335069963e-08,2.953806440067822e-08,7.641672511863709e-08,4.336758663444016e-08
F0,S63,1.0436680693656349e-07,1.3949863221350507e-07,7.087557131654591e-08,8.072366162779143e-08,3.266107577934353e-08,1.3474615555370656e-07,4.949643766194227e-08
F0,S64,1.4981984137614134e-07,1.655115348012737e-07,1.4606145937196475e-07,7.435844327528052e-08,7.373434704762377e-08,2.593487882903563e-07,8.935646562024648e-08
